VCGV	5655	1.838187
CYGV	839	4.073126
LFGV	367	4.029066
LHGV	302	3.356962
LSGV	241	2.2677
LYGV	7135	5.075299
VAGC	3665	2.800273
VAGM	376	2.485872
VDQR	121	0.031625
VEGM	2639	1.066862
VHGF	392	3.086417
VHGM	3764	4.77449
VKGM	1175	1.784651
VMGM	3277	1.761405
VPGC	1516	1.712131
VRGF	372	1.910035
VRGM	2723	2.373537
VSGM	395	2.481586
VWGC	5184	4.239156
AAGF	20	1.886338
AEGY	37	0.032245
AFGF	20	2.974946
AFGW	35	1.378982
APGW	20	0.047667
AYGF	60	3.876321
AYGM	260	4.202611
DDCI	8	0.049833
DDEH	20	0.027408
DDIR	19	0.017683
DDLK	19	0.02284
DDNS	11	0.009451
DDSQ	20	0.023833
DDVR	19	0.007309
DGWV	17	0.023493
ECGL	20	0.974954
EDDE	10	0.007613
EEGC	19	0.777272
EEGI	20	0.164164
EEGL	20	0.341584
EHGC	225	3.54293
EKGL	20	0.853939
EQGC	124	1.325798
ERGL	19	1.01746
EVGC	134	2.116178
FAGA	293	4.54135
FAGS	208	3.993242
FAGT	157	3.381705
FCGC	19	1.594158
FCGS	627	2.59831
FCGT	196	2.107606
FDNH	9	0.018902
FDSE	8	0.007757
FEGC	18	0.758297
FFGC	529	4.366148
FFGN	713	4.503279
FFGS	141	4.319824
FGGC	19	0.778646
FHGC	444	3.978361
FHGN	20	2.855035
FHGS	172	3.740375
FHGT	149	3.671847
FIGS	193	3.095861
FKGS	492	2.976123
FMGC	20	1.332512
FMGS	191	1.747475
FNGS	331	3.148759
FNGT	143	2.71681
FQGS	449	1.853042
FRGS	229	3.198038
FSGS	202	3.358023
FSGT	174	2.939449
FTGS	408	2.135198
FTGT	166	1.712642
FVGS	498	3.108668
FWGN	326	4.721708
FWGS	1445	5.380293
FWGT	20	3.649876
FYGC	22	4.365278
FYGN	1106	5.494876
FYGS	163	5.29818
FYGT	412	4.457328
GDKN	13	0.00571
GIGY	22	0.062001
GPGW	20	0.26647
GPGY	21	0.019462
HAGS	20	1.613836
HAGT	18	1.128447
HCGS	19	1.046785
HCGT	18	0.775667
HDDP	10	0.005671
HDKE	18	0.016123
HDMK	19	0.019122
HDRQ	4	0.007649
HDTH	4	0.007613
HDYQ	11	0.014425
HFGS	20	1.78388
HHGS	20	1.932137
HHGT	19	1.63676
HIGM	21	1.050452
HIGS	19	1.744903
HKGS	19	1.058881
HKGT	19	0.789557
HNGS	19	1.234271
HNGT	18	1.017482
HQGS	19	0.63379
HQGT	18	0.479127
HRGS	19	1.542831
HRGT	18	1.120764
HSGS	20	1.474436
HSGT	18	1.023743
HTGS	20	0.767973
HVGS	19	1.626984
HVGT	22	1.254433
HWGS	20	2.021365
HYGS	136	2.658986
ICGC	18	1.77348
ICGF	20	1.667222
IDHK	13	0.010542
IGEV	164	1.237079
IGQV	333	1.453472
IGSV	18	0.654871
IKGF	368	1.509244
IMGF	20	0.95218
IQGF	359	1.218148
ITGF	20	1.163302
IWGF	10570	5.772032
IWGL	892	3.916937
IWGM	1932	5.229246
IYGC	2545	4.48575
KCGL	22	1.029646
KCGM	20	1.718134
KFGM	4343	4.169982
KIGM	19	1.28271
KKGL	19	0.76783
KLGL	20	0.351718
KMGL	20	0.606002
KRGL	19	1.158236
KVGM	19	1.600586
KYGM	334	4.196085
LCGM	20	1.658616
LDRD	34	0.195774
NDEE	17	0.013704
NDFE	13	0.009907
PDDK	19	0.013704
PDHE	20	0.019577
PDII	18	0.027408
PDIT	15	0.00926
PDLK	20	0.018272
PDMI	8	0.012458
PDPN	19	0.025378
PDTN	20	0.020764
PDVQ	19	0.009967
PDWE	20	0.027408
QDTR	11	0.003528
QIGM	19	1.010269
QVGM	19	1.373267
RCGM	20	1.646075
RIGM	19	1.307672
RRGL	19	1.030391
RVGM	19	1.671931
SDCN	3	0.015712
SDEE	14	0.011187
SFGH	20	1.521574
SHGH	20	0.942763
SHGW	138	1.807289
SIGH	20	0.22337
