Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-1	0	0010001101	0.12226	10	5	2
run-nov-nk5-1	1	0100010101	0.643738	10	5	2
run-nov-nk5-1	2	0110010100	0.944949	10	5	2
run-nov-nk5-1	3	0011001000	0.697461	10	5	2
run-nov-nk5-1	4	0101010100	0.819051	10	5	2
run-nov-nk5-1	5	0110010100	0.944949	10	5	2
run-nov-nk5-1	6	0110110100	1.0	10	5	2
Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-2	0	0000011011	0.560804	10	5	2
run-nov-nk5-2	1	0000111111	0.660766	10	5	2
run-nov-nk5-2	2	0011101001	0.669283	10	5	2
run-nov-nk5-2	3	0000111101	0.817882	10	5	2
run-nov-nk5-2	4	0000110101	0.882256	10	5	2
run-nov-nk5-2	5	0001111001	0.652719	10	5	2
run-nov-nk5-2	6	1101000011	0.608469	10	5	2
run-nov-nk5-2	7	0110110100	1.0	10	5	2
Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-3	0	0010000100	0.54446	10	5	2
run-nov-nk5-3	1	0110010100	0.944949	10	5	2
run-nov-nk5-3	2	0110110100	1.0	10	5	2
Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-4	0	0100000110	0.598332	10	5	2
run-nov-nk5-4	1	0100001010	0.806815	10	5	2
run-nov-nk5-4	2	0100110100	0.71886	10	5	2
run-nov-nk5-4	3	0110110100	1.0	10	5	2
Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-5	0	0101101110	0.285591	10	5	2
run-nov-nk5-5	1	0001101111	0.769183	10	5	2
run-nov-nk5-5	2	0001101100	0.649968	10	5	2
run-nov-nk5-5	3	0001101001	0.590568	10	5	2
run-nov-nk5-5	4	0110010100	0.944949	10	5	2
run-nov-nk5-5	5	0110010100	0.944949	10	5	2
run-nov-nk5-5	6	0110110100	1.0	10	5	2
Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-6	0	0011001100	0.571932	10	5	2
run-nov-nk5-6	1	1011001000	0.839039	10	5	2
run-nov-nk5-6	2	0010000111	0.785645	10	5	2
run-nov-nk5-6	3	0000001110	0.510596	10	5	2
run-nov-nk5-6	4	0010101110	0.634502	10	5	2
run-nov-nk5-6	5	0001101110	0.814138	10	5	2
run-nov-nk5-6	6	0110111100	0.722035	10	5	2
run-nov-nk5-6	7	0011000111	0.783769	10	5	2
run-nov-nk5-6	8	0100010010	0.823182	10	5	2
run-nov-nk5-6	9	0101010010	0.812682	10	5	2
run-nov-nk5-6	10	0110000100	0.721973	10	5	2
run-nov-nk5-6	11	0110110110	0.781665	10	5	2
run-nov-nk5-6	12	0110110100	1.0	10	5	2
Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-7	0	1011010000	0.587613	10	5	2
run-nov-nk5-7	1	0011010100	0.608523	10	5	2
run-nov-nk5-7	2	0110110100	1.0	10	5	2
Tag	Gen	top_elite	fit	N	K	search_algo
run-nov-nk5-8	0	1101001110	0.26575	10	5	2
run-nov-nk5-8	1	1101010110	0.805938	10	5	2
run-nov-nk5-8	2	0110000110	0.703827	10	5	2
run-nov-nk5-8	3	1001101000	0.732066	10	5	2
run-nov-nk5-8	4	1011001001	0.68638	10	5	2
