Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk6-1	0	1101111001	0.181887	10	6	1
run-obj-nk6-1	1	0100111010	0.777706	10	6	1
run-obj-nk6-1	2	1000111101	0.863672	10	6	1
run-obj-nk6-1	3	0110111010	0.92736	10	6	1
run-obj-nk6-1	4	1000110101	0.978348	10	6	1
run-obj-nk6-1	5	1000110101	0.978348	10	6	1
run-obj-nk6-1	6	1000110101	0.978348	10	6	1
run-obj-nk6-1	7	1000110101	0.978348	10	6	1
run-obj-nk6-1	8	1000110101	0.978348	10	6	1
run-obj-nk6-1	9	1000110101	0.978348	10	6	1
run-obj-nk6-1	10	1000110101	0.978348	10	6	1
run-obj-nk6-1	11	1000110101	0.978348	10	6	1
run-obj-nk6-1	12	1000110101	0.978348	10	6	1
run-obj-nk6-1	13	1000110101	0.978348	10	6	1
run-obj-nk6-1	14	1000110101	0.978348	10	6	1
run-obj-nk6-1	15	1000110101	0.978348	10	6	1
run-obj-nk6-1	16	1000110101	0.978348	10	6	1
run-obj-nk6-1	17	1000110101	0.978348	10	6	1
run-obj-nk6-1	18	1000110101	0.978348	10	6	1
run-obj-nk6-1	19	1000110101	0.978348	10	6	1
run-obj-nk6-1	20	1000110101	0.978348	10	6	1
run-obj-nk6-1	21	1000110101	0.978348	10	6	1
run-obj-nk6-1	22	1000110101	0.978348	10	6	1
run-obj-nk6-1	23	1000110101	0.978348	10	6	1
run-obj-nk6-1	24	1000110101	0.978348	10	6	1
run-obj-nk6-1	25	1000110101	0.978348	10	6	1
run-obj-nk6-1	26	1000110101	0.978348	10	6	1
run-obj-nk6-1	27	1000110101	0.978348	10	6	1
run-obj-nk6-1	28	1000110101	0.978348	10	6	1
run-obj-nk6-1	29	1000110101	0.978348	10	6	1
run-obj-nk6-1	30	1000110101	0.978348	10	6	1
run-obj-nk6-1	31	1000110101	0.978348	10	6	1
run-obj-nk6-1	32	1000110101	0.978348	10	6	1
run-obj-nk6-1	33	1000110101	0.978348	10	6	1
run-obj-nk6-1	34	1000110101	0.978348	10	6	1
run-obj-nk6-1	35	1000110101	0.978348	10	6	1
run-obj-nk6-1	36	1000110101	0.978348	10	6	1
run-obj-nk6-1	37	1000110101	0.978348	10	6	1
run-obj-nk6-1	38	1010011101	1.0	10	6	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk6-2	0	0000000101	0.47341	10	6	1
run-obj-nk6-2	1	1000100101	0.765619	10	6	1
run-obj-nk6-2	2	1000110101	0.978348	10	6	1
run-obj-nk6-2	3	1010001101	0.995876	10	6	1
run-obj-nk6-2	4	1010011101	1.0	10	6	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk6-3	0	0010010110	0.607857	10	6	1
run-obj-nk6-3	1	0000100110	0.848381	10	6	1
run-obj-nk6-3	2	1010011101	1.0	10	6	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk6-4	0	1010110010	0.54456	10	6	1
run-obj-nk6-4	1	1010111010	0.790759	10	6	1
run-obj-nk6-4	2	0110111010	0.92736	10	6	1
run-obj-nk6-4	3	0110111010	0.92736	10	6	1
run-obj-nk6-4	4	1000101001	0.934985	10	6	1
run-obj-nk6-4	5	1000101001	0.934985	10	6	1
run-obj-nk6-4	6	1000101001	0.934985	10	6	1
run-obj-nk6-4	7	1000101001	0.934985	10	6	1
run-obj-nk6-4	8	1000101001	0.934985	10	6	1
run-obj-nk6-4	9	1000101001	0.934985	10	6	1
run-obj-nk6-4	10	1000101001	0.934985	10	6	1
run-obj-nk6-4	11	1000101001	0.934985	10	6	1
run-obj-nk6-4	12	1000101001	0.934985	10	6	1
run-obj-nk6-4	13	1000101001	0.934985	10	6	1
run-obj-nk6-4	14	1000101001	0.934985	10	6	1
run-obj-nk6-4	15	1000101001	0.934985	10	6	1
run-obj-nk6-4	16	1000101001	0.934985	10	6	1
run-obj-nk6-4	17	1000110101	0.978348	10	6	1
run-obj-nk6-4	18	1000110101	0.978348	10	6	1
run-obj-nk6-4	19	1000110101	0.978348	10	6	1
run-obj-nk6-4	20	1000110101	0.978348	10	6	1
run-obj-nk6-4	21	1000110101	0.978348	10	6	1
run-obj-nk6-4	22	1000110101	0.978348	10	6	1
run-obj-nk6-4	23	1000110101	0.978348	10	6	1
run-obj-nk6-4	24	1000110101	0.978348	10	6	1
run-obj-nk6-4	25	1000110101	0.978348	10	6	1
run-obj-nk6-4	26	1010011101	1.0	10	6	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk6-5	0	0011000111	0.468619	10	6	1
run-obj-nk6-5	1	0011010010	0.860632	10	6	1
run-obj-nk6-5	2	0011010010	0.860632	10	6	1
run-obj-nk6-5	3	0010111111	0.87937	10	6	1
run-obj-nk6-5	4	0010111111	0.87937	10	6	1
run-obj-nk6-5	5	0010111111	0.87937	10	6	1
run-obj-nk6-5	6	0010111111	0.87937	10	6	1
run-obj-nk6-5	7	1010011101	1.0	10	6	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk6-6	0	0011000000	0.622849	10	6	1
run-obj-nk6-6	1	0011010010	0.860632	10	6	1
run-obj-nk6-6	2	0011010010	0.860632	10	6	1
run-obj-nk6-6	3	0011010010	0.860632	10	6	1
run-obj-nk6-6	4	0011111110	0.894896	10	6	1
run-obj-nk6-6	5	0011111110	0.894896	10	6	1
run-obj-nk6-6	6	0011111110	0.894896	10	6	1
run-obj-nk6-6	7	0011111110	0.894896	10	6	1
run-obj-nk6-6	8	0011111110	0.894896	10	6	1
run-obj-nk6-6	9	0011111110	0.894896	10	6	1
run-obj-nk6-6	10	0011111110	0.894896	10	6	1
run-obj-nk6-6	11	0011111110	0.894896	10	6	1
run-obj-nk6-6	12	0011111110	0.894896	10	6	1
run-obj-nk6-6	13	0011111110	0.894896	10	6	1
run-obj-nk6-6	14	0011111110	0.894896	10	6	1
run-obj-nk6-6	15	0011111110	0.894896	10	6	1
run-obj-nk6-6	16	0011111110	0.894896	10	6	1
run-obj-nk6-6	17	0011111110	0.894896	10	6	1
run-obj-nk6-6	18	0110111010	0.92736	10	6	1
run-obj-nk6-6	19	0110111010	0.92736	10	6	1
run-obj-nk6-6	20	0110111010	0.92736	10	6	1
run-obj-nk6-6	21	0110111010	0.92736	10	6	1
run-obj-nk6-6	22	0110111010	0.92736	10	6	1
run-obj-nk6-6	23	0110111010	0.92736	10	6	1
run-obj-nk6-6	24	0110111010	0.92736	10	6	1
run-obj-nk6-6	25	0110111010	0.92736	10	6	1
