Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk8-1	0	1001001001	0.421436	10	8	1
run-obj-nk8-1	1	1011001001	0.798862	10	8	1
run-obj-nk8-1	2	1011001001	0.798862	10	8	1
run-obj-nk8-1	3	1011001001	0.798862	10	8	1
run-obj-nk8-1	4	1011001001	0.798862	10	8	1
run-obj-nk8-1	5	1011001001	0.798862	10	8	1
run-obj-nk8-1	6	1011100011	0.820336	10	8	1
run-obj-nk8-1	7	1011100011	0.820336	10	8	1
run-obj-nk8-1	8	1011100011	0.820336	10	8	1
run-obj-nk8-1	9	1011100011	0.820336	10	8	1
run-obj-nk8-1	10	1011100011	0.820336	10	8	1
run-obj-nk8-1	11	1011011010	0.877489	10	8	1
run-obj-nk8-1	12	1010110111	0.911109	10	8	1
run-obj-nk8-1	13	1010110111	0.911109	10	8	1
run-obj-nk8-1	14	1010110111	0.911109	10	8	1
run-obj-nk8-1	15	1010110111	0.911109	10	8	1
run-obj-nk8-1	16	1110100110	0.928847	10	8	1
run-obj-nk8-1	17	1110100110	0.928847	10	8	1
run-obj-nk8-1	18	1110100110	0.928847	10	8	1
run-obj-nk8-1	19	1110100110	0.928847	10	8	1
run-obj-nk8-1	20	1110100110	0.928847	10	8	1
run-obj-nk8-1	21	1110100110	0.928847	10	8	1
run-obj-nk8-1	22	1001001110	0.934723	10	8	1
run-obj-nk8-1	23	1001001110	0.934723	10	8	1
run-obj-nk8-1	24	1001001110	0.934723	10	8	1
run-obj-nk8-1	25	1001001110	0.934723	10	8	1
run-obj-nk8-1	26	1001001110	0.934723	10	8	1
run-obj-nk8-1	27	1001001110	0.934723	10	8	1
run-obj-nk8-1	28	1001001110	0.934723	10	8	1
run-obj-nk8-1	29	1001001110	0.934723	10	8	1
run-obj-nk8-1	30	1001001110	0.934723	10	8	1
run-obj-nk8-1	31	1001001110	0.934723	10	8	1
run-obj-nk8-1	32	1001001110	0.934723	10	8	1
run-obj-nk8-1	33	1001001110	0.934723	10	8	1
run-obj-nk8-1	34	1001001110	0.934723	10	8	1
run-obj-nk8-1	35	1001001110	0.934723	10	8	1
run-obj-nk8-1	36	1001001110	0.934723	10	8	1
run-obj-nk8-1	37	1001001110	0.934723	10	8	1
run-obj-nk8-1	38	1001001110	0.934723	10	8	1
run-obj-nk8-1	39	1001001110	0.934723	10	8	1
run-obj-nk8-1	40	1001001110	0.934723	10	8	1
run-obj-nk8-1	41	1001001110	0.934723	10	8	1
run-obj-nk8-1	42	1001001110	0.934723	10	8	1
run-obj-nk8-1	43	1001001110	0.934723	10	8	1
run-obj-nk8-1	44	1001001110	0.934723	10	8	1
run-obj-nk8-1	45	1001001110	0.934723	10	8	1
run-obj-nk8-1	46	1001001110	0.934723	10	8	1
run-obj-nk8-1	47	1001001110	0.934723	10	8	1
run-obj-nk8-1	48	1001001110	0.934723	10	8	1
run-obj-nk8-1	49	1001001110	0.934723	10	8	1
run-obj-nk8-1	50	1001001110	0.934723	10	8	1
run-obj-nk8-1	51	1001001110	0.934723	10	8	1
run-obj-nk8-1	52	1001001110	0.934723	10	8	1
run-obj-nk8-1	53	1001001110	0.934723	10	8	1
run-obj-nk8-1	54	1001001110	0.934723	10	8	1
run-obj-nk8-1	55	1001001110	0.934723	10	8	1
run-obj-nk8-1	56	1001001110	0.934723	10	8	1
run-obj-nk8-1	57	1001001110	0.934723	10	8	1
run-obj-nk8-1	58	1001001110	0.934723	10	8	1
run-obj-nk8-1	59	1001001110	0.934723	10	8	1
run-obj-nk8-1	60	1001001110	0.934723	10	8	1
run-obj-nk8-1	61	1001001110	0.934723	10	8	1
run-obj-nk8-1	62	1001001110	0.934723	10	8	1
run-obj-nk8-1	63	1001001110	0.934723	10	8	1
run-obj-nk8-1	64	1001001110	0.934723	10	8	1
run-obj-nk8-1	65	1001001110	0.934723	10	8	1
run-obj-nk8-1	66	1001001110	0.934723	10	8	1
run-obj-nk8-1	67	1001001110	0.934723	10	8	1
run-obj-nk8-1	68	1001001110	0.934723	10	8	1
run-obj-nk8-1	69	1001001110	0.934723	10	8	1
run-obj-nk8-1	70	1001001110	0.934723	10	8	1
run-obj-nk8-1	71	1001001110	0.934723	10	8	1
run-obj-nk8-1	72	1001001110	0.934723	10	8	1
run-obj-nk8-1	73	1001001110	0.934723	10	8	1
run-obj-nk8-1	74	1001001110	0.934723	10	8	1
run-obj-nk8-1	75	1001001110	0.934723	10	8	1
run-obj-nk8-1	76	1001001110	0.934723	10	8	1
run-obj-nk8-1	77	1001001110	0.934723	10	8	1
run-obj-nk8-1	78	1001001110	0.934723	10	8	1
run-obj-nk8-1	79	1001001110	0.934723	10	8	1
run-obj-nk8-1	80	1101100010	1.0	10	8	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk8-2	0	0011111101	0.594861	10	8	1
run-obj-nk8-2	1	0011110101	0.905809	10	8	1
run-obj-nk8-2	2	0011110101	0.905809	10	8	1
run-obj-nk8-2	3	0011110101	0.905809	10	8	1
run-obj-nk8-2	4	0011110101	0.905809	10	8	1
run-obj-nk8-2	5	0011110101	0.905809	10	8	1
run-obj-nk8-2	6	0011110101	0.905809	10	8	1
run-obj-nk8-2	7	0011110101	0.905809	10	8	1
run-obj-nk8-2	8	0011110101	0.905809	10	8	1
run-obj-nk8-2	9	0011110101	0.905809	10	8	1
run-obj-nk8-2	10	0011110101	0.905809	10	8	1
run-obj-nk8-2	11	0011110101	0.905809	10	8	1
run-obj-nk8-2	12	0011110101	0.905809	10	8	1
run-obj-nk8-2	13	0011110101	0.905809	10	8	1
run-obj-nk8-2	14	0011110101	0.905809	10	8	1
run-obj-nk8-2	15	0011110101	0.905809	10	8	1
run-obj-nk8-2	16	0011110101	0.905809	10	8	1
run-obj-nk8-2	17	0011110101	0.905809	10	8	1
run-obj-nk8-2	18	0011110101	0.905809	10	8	1
