Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk1-1	0	0010011100	0.516302	10	1	1
run-obj-nk1-1	1	0010111101	0.819492	10	1	1
run-obj-nk1-1	2	1110111110	1.0	10	1	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk1-2	0	0011101010	0.237954	10	1	1
run-obj-nk1-2	1	0010101110	0.787178	10	1	1
run-obj-nk1-2	2	0110101110	0.854158	10	1	1
run-obj-nk1-2	3	0001111101	0.964551	10	1	1
run-obj-nk1-2	4	1110111110	1.0	10	1	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk1-3	0	1110001010	0.923852	10	1	1
run-obj-nk1-3	1	1110011010	0.951631	10	1	1
run-obj-nk1-3	2	1110111110	1.0	10	1	1
Tag	Gen	top_elite	fit	N	K	search_algo
run-obj-nk1-4	0	1011110001	0.275669	10	1	1
run-obj-nk1-4	1	1001110110	0.777282	10	1	1
run-obj-nk1-4	2	1101110101	0.889309	10	1	1
run-obj-nk1-4	3	1101111101	0.910886	10	1	1
run-obj-nk1-4	4	0101110101	0.949282	10	1	1
run-obj-nk1-4	5	0101111101	0.970859	10	1	1
run-obj-nk1-4	6	0101111101	0.970859	10	1	1
run-obj-nk1-4	7	0101111101	0.970859	10	1	1
run-obj-nk1-4	8	0101111101	0.970859	10	1	1
run-obj-nk1-4	9	0101111101	0.970859	10	1	1
run-obj-nk1-4	10	0101111101	0.970859	10	1	1
run-obj-nk1-4	11	0101111101	0.970859	10	1	1
run-obj-nk1-4	12	0101111101	0.970859	10	1	1
run-obj-nk1-4	13	0101111101	0.970859	10	1	1
run-obj-nk1-4	14	0101111101	0.970859	10	1	1
run-obj-nk1-4	15	0101111101	0.970859	10	1	1
run-obj-nk1-4	16	0101111101	0.970859	10	1	1
run-obj-nk1-4	17	0101111101	0.970859	10	1	1
run-obj-nk1-4	18	0101111101	0.970859	10	1	1
run-obj-nk1-4	19	0101111101	0.970859	10	1	1
run-obj-nk1-4	20	0101111101	0.970859	10	1	1
run-obj-nk1-4	21	0101111101	0.970859	10	1	1
run-obj-nk1-4	22	0101111101	0.970859	10	1	1
run-obj-nk1-4	23	0101111101	0.970859	10	1	1
run-obj-nk1-4	24	0101111101	0.970859	10	1	1
run-obj-nk1-4	25	0101111101	0.970859	10	1	1
run-obj-nk1-4	26	0101111101	0.970859	10	1	1
run-obj-nk1-4	27	0101111101	0.970859	10	1	1
run-obj-nk1-4	28	0101111101	0.970859	10	1	1
run-obj-nk1-4	29	0101111101	0.970859	10	1	1
